source,title,link,published,summary,timestamp,symbol
business_standard,"Tata Steel Q3FY26 profit jumps multifold to ₹2,688.7 cr, revenue up 6.4%",https://www.business-standard.com/companies/quarterly-results/tata-steel-q3-fy26-results-profit-revenue-sales-incomes-margin-share-price-126020601569_1.html,"Fri, 06 Feb 2026 18:44:39 +0530","Surge in Tata Steel's Q3 profit comes on the back of improving profit margin, which rose to 4.79 per cent in Q3FY26, from 0.55 per cent in the same quarter last year",2026-02-06 20:50:38.117336,
business_standard,"31 killed, over 169 injured in a blast at a religious centre in Pakistan",https://www.business-standard.com/world-news/24-killed-over-100-injured-in-a-blast-at-a-religious-centre-in-pakistan-126020601259_1.html,"Fri, 06 Feb 2026 17:55:09 +0530","Stating that the forensics teams had reached the site, the officials said that it was too early to ""ascertain the nature of the blast""",2026-02-06 20:50:38.117336,
yahoo_finance,Transport Capacity Services Achieves Growth Amid Shifting Trade Dynamics,https://finance.yahoo.com/news/transport-capacity-services-achieves-growth-151600344.html?.tsrc=rss,"Wed, 17 Dec 2025 15:16:00 +0000","LAREDO, Texas, December 17, 2025--Cross-border logistics company’s investments help shippers navigate changing US-Mexico trade dynamics and supply chain challenges.",2026-02-06 20:50:40.810518,TCS.NS
yahoo_finance,Sverica Capital Management Announces Sale of Coastal to Tata Consultancy Services for $700 Million,https://finance.yahoo.com/news/sverica-capital-management-announces-sale-212500631.html?.tsrc=rss,"Wed, 10 Dec 2025 21:25:00 +0000","AUSTIN, Texas, December 10, 2025--Sverica Capital Management LP (""Sverica"") announced today the sale of its Fund V portfolio company Coastal Cloud Holdings, LLC (""Coastal"" or the ""Company"") to Tata Consultancy Services Limited (or ""TCS"") for $700 million. This marks the culmination of a five-year successful partnership with Coastal, during which the Company more than quadrupled in size while maintaining best in class profitability and solidified its market leadership as one of the largest and fa",2026-02-06 20:50:40.810518,TCS.NS
yahoo_finance,"India's TCS, TPG partner to invest $2 billion in AI data centre JV",https://sg.news.yahoo.com/indias-tcs-tpg-partner-invest-125238431.html?.tsrc=rss,"Thu, 20 Nov 2025 12:52:38 +0000","By Sai Ishwarbharath B (Reuters) -India's Tata Consultancy Services and private equity firm TPG will form a joint venture to develop AI data centres, TCS said on Thursday, with both partners set to",2026-02-06 20:50:40.810518,TCS.NS
yahoo_finance,ISG Announces 2025 ISG Paragon Awards™ Asia Finalists,https://finance.yahoo.com/news/isg-announces-2025-isg-paragon-020000518.html?.tsrc=rss,"Thu, 23 Oct 2025 02:00:00 +0000","SINGAPORE, October 23, 2025--ISG announced the ISG Paragon Awards™ Asia finalists, celebrating innovative sourcing industry partnerships. Winners will be announced November 12.",2026-02-06 20:50:40.810518,TCS.NS
yahoo_finance,Box and TCS Announce a Strategic Partnership to Drive Digital Transformation with Intelligent Content Management,https://finance.yahoo.com/news/box-tcs-announce-strategic-partnership-080000570.html?.tsrc=rss,"Tue, 21 Oct 2025 08:00:00 +0000","MUMBAI & PLEASANTON, Calif., October 21, 2025--Box and TCS Announce a Strategic Partnership to Drive Digital Transformation with Intelligent Content Management",2026-02-06 20:50:40.810518,TCS.NS
yahoo_finance,Resulticks and TCS Deepen Strategic Alliance to Accelerate Global Adoption of RESUL Platform,https://finance.yahoo.com/news/resulticks-tcs-deepen-strategic-alliance-110000797.html?.tsrc=rss,"Wed, 08 Oct 2025 11:00:00 +0000","NEW YORK, October 08, 2025--Resulticks, a global leader in real-time customer engagement solutions, today announced the expansion of its partnership with Tata Consultancy Services (TCS), moving from planning to full-scale execution. As part of this next phase, TCS will lead the onboarding of 250 agencies and more than 2,500 brands onto the RESUL platform.",2026-02-06 20:50:40.810518,TCS.NS
yahoo_finance,Indium Appoints Ram Khizamboor as Chief Operating Officer,https://finance.yahoo.com/news/indium-appoints-ram-khizamboor-chief-110000757.html?.tsrc=rss,"Mon, 08 Sep 2025 11:00:00 +0000","CUPERTINO, Calif. & CHENNAI, India, September 08, 2025--Indium today announced the appointment of Ram Khizamboor as its Chief Operating Officer.",2026-02-06 20:50:40.810518,TCS.NS
yahoo_finance,Transport Capacity Services Appoints New Leadership,https://finance.yahoo.com/news/transport-capacity-services-appoints-leadership-120800247.html?.tsrc=rss,"Tue, 19 Aug 2025 12:08:00 +0000","CHICAGO, August 19, 2025--Former Uber Freight and Transplace executives to lead cross-border and U.S. logistics company, Transport Capacity Services (TCS).",2026-02-06 20:50:40.810518,TCS.NS
